name,latitude,longitude,admin1_code,admin2_code,admin3_code,feature_code
Zuvvaladinne,14.80796,80.07045,02,550,5159,PPL
Zulakallu,16.44415,79.78743,02,751,5047,PPL
Zangareddigudem,17.12288,81.29525,02,748,4953,PPL
Zaladanki,14.88431,79.91251,02,550,5157,PPL
Zahirabad,17.68138,77.60743,40,691,4474,PPL
Yerur,14.17677,80.04152,02,752,5190,PPL
Yerupalem,16.82211,80.47017,40,541,4767,PPL
Yellareddi,18.19433,78.01777,40,685,4386,PPL
Yellandu,17.59064,80.32146,40,690,4740,PPL
Yelkaturti,18.10148,79.44948,40,686,4449,PPL
Yeljal,16.81897,78.36249,40,537,4562,PPL
Yelgonda,18.89573,79.05762,40,681,6213,PPL
Yelatturdibba,15.78086,80.87351,02,547,5038,PPL
Yedapalli,18.68006,77.94741,40,533,4369,PPL
Yarada,17.65872,83.27419,02,544,4869,PPL
Yanam,16.73308,82.21364,02,545,,PPL
Yamanpalli,19.10064,79.84471,40,684,4330,PPL
Yadiki,15.04941,77.87306,02,553,5312,PPL
Yadgarpalli,16.83333,79.58333,40,539,4664,PPL
Wynchpet,16.52372,80.61692,02,749,5010,PPLX
Wazirabad,16.69169,79.66073,40,539,4663,PPL
Wasalmari,17.67252,78.81079,40,697,4614,PPL
Warangal,18.0,79.58333,40,686,4695,PPLA2
Wanparti,16.36738,78.06889,40,693,4595,PPLA2
Waltair,17.71685,83.31924,02,544,4866,PPL
Wakri,19.48346,79.32051,40,699,4314,PPL
Vyaparla,16.04148,78.05045,40,693,4602,PPL
Vuyyuru,16.36307,80.84406,02,547,5027,PPL
Vizianagaram,18.11692,83.41148,02,543,4836,PPLA2
Vissannapeta,16.94125,80.78576,02,749,5000,PPL
Visnur,17.62983,79.40511,40,689,4697,PPL
Visakhapatnam,17.68009,83.20161,02,544,4869,PPLA2
Viravalli,16.61211,80.91818,02,547,5004,PPL
Virapalle,14.15802,78.85761,02,753,5242,PPL
Virampalli,14.28535,79.81283,02,550,5183,PPL
Viraghattam,18.68644,83.60919,02,743,4769,PPL
Vinukonda,16.0531,79.73964,02,751,5062,PPL
Vinnadivaram,16.01797,79.56051,02,549,5099,PPL
Vinjamur,14.83364,79.57985,02,550,5161,PPL
Vindur,14.189,79.82577,02,752,5184,PPL
Vikarabad,17.3381,77.90441,40,698,4530,PPLA2
Vijayawada,16.50745,80.6466,02,749,5010,PPL
Vijayarayi,16.80941,81.0384,02,748,4964,PPL
Vijilapuram,12.83425,78.46369,02,554,5428,PPL
Vidapanakallu,15.05731,77.18251,02,553,5308,PPL
Vetapalem,15.78502,80.30663,02,750,5124,PPL
Vepagunta,17.77844,83.21577,02,544,4862,PPL
Venkatapuram,18.30205,80.55089,40,780,4724,PPL
Venkatapuram,17.51063,82.62857,02,744,4874,PPL
Venkatapuram,17.25134,78.24583,40,537,4528,PPL
Venkatagirikota,13.0018,78.48478,02,554,5424,PPL
Venkatagiri,13.96005,79.58032,02,752,5187,PPL
Venkatagiri,13.19444,78.90081,02,554,5429,PPL
Venkatachelam Chattram,14.32674,79.92498,02,550,5182,PPL
Vengannapalem,17.40484,80.50591,40,690,4746,PPL
Venadu,13.64101,80.13014,02,752,5198,PPL
Vemulachedu,14.12565,79.67207,02,550,5185,PPL
Vempalle,14.36729,78.4587,02,551,5233,PPL
Vemalwada,18.46523,78.86894,40,683,4430,PPL
Velugodu,15.71932,78.57296,02,755,5282,PPL
Veludurti,16.34929,79.36669,02,751,5041,PPL
Vellaturu,14.45071,78.65972,02,551,5232,PPL
Vellanti,14.4807,79.82234,02,550,5177,PPL
Veldurti,15.54993,77.93112,02,552,5278,PPL
Velchal,18.41667,79.61667,40,687,6248,PPL
Velampalle,15.63938,80.01343,02,549,5127,PPL
Vedullacheruvu,15.31393,79.23185,02,549,5135,PPL
Vedichela,14.09243,79.76272,02,752,5184,PPL
Vayalpad,13.63732,78.62991,02,753,5388,PPL
Vatturupallepalem,14.85099,80.08434,02,550,5158,PPL
Variguntapadu,14.99029,79.42043,02,550,5155,PPL
Vardannapet,17.77251,79.56951,40,540,4704,PPL
Vardamankot,17.37756,79.44149,40,696,6298,PPL
Varakuru,15.68476,78.17797,02,552,5268,PPL
Varadayyapalaiyam,13.59858,79.93276,02,752,5381,PPL
Vanipenta,14.79055,78.78047,02,551,5204,PPL
Valigonda,17.37615,79.02131,40,697,4627,PPL
Valassala,15.38333,77.98333,02,755,5289,PPL
Valasarapalli,14.45585,79.76675,02,550,5176,PPL
Valasala,15.38863,77.97093,02,755,5289,PPL
Valaparla,15.92406,80.04919,02,750,5106,PPL
Valamuru,17.62566,81.63834,02,745,4884,PPL
Vakalapudi,17.01667,82.28333,02,746,4913,PPL
Wajrakarur,15.02719,77.38657,02,553,5316,PPL
Vaimsur,17.12906,80.7926,40,541,4768,PPL
Vadlapudi,14.31119,79.8043,02,550,5183,PPL
Vaddepa,17.74536,82.61786,02,744,4855,PPL
Vaddadi,17.84737,82.87293,02,744,4873,PPL
Vadarevu,15.79728,80.41176,02,750,5123,PPL
Vadamala,13.54886,79.52423,02,752,5399,PPL
Uyyalavada,15.63142,78.07537,02,552,5268,PPL
Uyyalavada,15.10168,78.39608,02,755,5302,PPL
Vutukuru,14.57777,80.14227,02,550,5168,PPL
Utukuru,14.25,79.75,02,550,5185,PPL
Uttukuru,14.56667,80.15,02,550,5179,PPL
Uttaravilli,18.45847,83.47696,02,543,4822,PPL
Uchapalem,14.36285,79.67062,02,550,5176,PPL
Utnur,19.36798,78.77608,40,532,4321,PPL
Utkur,16.65029,77.51496,40,781,4571,PPL
Ustikoilpenta,13.83463,79.03316,02,752,5374,PPL
Uravakonda,14.94348,77.25494,02,553,5317,PPL
Upputuru,14.42357,79.792,02,550,5177,PPL
Uppugunduru,15.67009,80.16879,02,549,5126,PPL
Uppalapadu,15.88725,79.91156,02,750,5112,PPL
Uppalapadu,15.58267,79.7567,02,549,5120,PPL
Uppalapadu,15.17039,78.044,02,755,5295,PPL
Uppalaguptam,16.55326,82.09749,02,747,4942,PPL
Uppal,18.17947,79.476,40,686,4447,PPL
Uppal,15.97433,77.67982,40,695,4606,PPL
Uppada,17.08333,82.33333,02,746,4912,PPL
Uppal Kalan,17.40577,78.55911,40,700,6318,PPL
Undial,16.43499,77.75707,40,538,4587,PPL
Undi,16.58542,81.46211,02,546,4976,PPL
Undavalli,16.49566,80.58574,02,548,5054,PPL
Umri,19.51667,78.9,40,532,4312,PPL
Ullapalem,15.23697,80.0712,02,549,5149,PPL
Ullah,19.18126,78.06904,40,680,4337,PPL
Ulindakonda,15.64509,77.97152,02,552,5258,PPL
Ulavapad,15.1665,79.99599,02,550,5152,PPL
Udayagiri,14.87538,79.30861,02,550,5154,PPL
Udampur,19.20876,78.87626,40,680,4335,PPL
